ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bc948290-4766-4861-af9b-1a4864d495d1,1,,,,3754041,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 3388, 'name': 'Jack Wilshere'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,204c5aae-00cc-49ff-a88a-57422c849c24,2,,,,3754041,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 18672, 'name': 'Mark Bunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 75899, 'name': 'Kevin Toner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 46}, {'player': {'id': 20951, 'name': 'Jordan Lyden'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 38}, {'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 43}, {'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0a15ca77-e90a-43dc-94af-f9e7d4ecc559,3,,,,3754041,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['2f53184b-ef53-4307-9ee9-3601562e2dd3'],0,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2f53184b-ef53-4307-9ee9-3601562e2dd3,4,,,,3754041,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['0a15ca77-e90a-43dc-94af-f9e7d4ecc559'],0,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,01fb04eb-4b54-44d1-9283-4d929e4eb6a2,2148,,,,3754041,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Aston Villa,59,['6401354a-9ff3-4df8-81cc-7c4fc2b639ae'],0,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6401354a-9ff3-4df8-81cc-7c4fc2b639ae,2149,,,,3754041,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Aston Villa,59,['01fb04eb-4b54-44d1-9283-4d929e4eb6a2'],0,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.613993,,,,,,,,,,,,,,,76c3e8d2-4650-435d-be30-6da35872ff25,5,,,"[60.0, 40.0]",3754041,0,,,,,1.677532,,Left Foot,,,"[59.7, 42.8]",,Ground Pass,,2.8160255,,,,Mesut Özil,3496.0,,,,,,Kick Off,1,From Kick Off,Olivier Giroud,3604.0,Center Forward,2,Arsenal,1,['fcedd7b2-0d53-46fa-b562-f00657dff26c'],0,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.500,Pass,
,,,,,,,,,,,,,,,0.878524,,,,,,,,,,,,,,,b67f6010-a795-4d0d-a2ef-f160562e6b29,7,,,"[59.0, 42.6]",3754041,0,,,,,-2.3162158,,Right Foot,,,"[48.2, 30.9]",,Ground Pass,,15.922626,,,,Francis Joseph Coquelin,3437.0,,,,,,,1,From Kick Off,Mesut Özil,3496.0,Center Attacking Midfield,2,Arsenal,1,['469b4f37-3de1-424f-a847-6b944f8c201b'],1,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.114,Pass,
,,,,,,,,,,,,,,,0.683428,,,,,,,,,,,,,,,240f5338-5036-4a6f-83fb-3c9c362b98d9,11,,,"[51.9, 37.2]",3754041,0,,,,,0.11756557,,Right Foot,,,"[64.6, 38.7]",,Low Pass,,12.788276,,,,Mesut Özil,3496.0,,,,,,,1,From Kick Off,Francis Joseph Coquelin,3437.0,Left Defensive Midfield,2,Arsenal,1,"['dd9f0f48-0204-4a42-9c82-108f10eb3117', 'e7970179-2fe9-4f89-bee9-18da39d0b2d5']",2,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:02.958,Pass,True
,,,,,,,,,,,,,,,1.676641,,,,,,,,,,,,,,,a9d22ce8-4693-425e-979a-85f1b4286d46,14,,,"[64.6, 38.7]",3754041,0,,,,,-0.63040143,,Right Foot,,,"[79.4, 27.9]",,Ground Pass,,18.321571,,Incomplete,,Olivier Giroud,3604.0,,,,,,,1,From Kick Off,Mesut Özil,3496.0,Center Attacking Midfield,2,Arsenal,1,"['5895260c-a5ad-483f-9894-ef6665f8162a', 'd108c3b0-6937-46d8-85a1-e7ca653afc96']",3,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:03.694,Pass,
